RecordingTimestamp	GazePointIndex	GazePointX	GazePointY	DistanceLeft	DistanceRight	
9	1	850	369	558.48	558.48	
13	2	849	368	558.42	558.42	
16	3	852	365	558.43	558.43	
19	4	853	365	558.45	558.45	
23	5	854	363	558.44	558.44	
26	6	853	362	558.42	558.42	
29	7	854	365	558.37	558.37	
33	8	856	359	558.36	558.36	
36	9	853	357	558.36	558.36	
39	10	858	355	558.37	558.37	
43	11	855	361	558.33	558.33	
46	12	851	357	558.34	558.34	
49	13	852	368	558.34	558.34	
53	14	852	362	558.33	558.33	
56	15	851	361	558.33	558.33	
59	16	848	366	558.34	558.34	
63	17	851	364	558.34	558.34	
66	18	850	362	558.40	558.40	
69	19	851	365	558.40	558.40	
73	20	851	361	558.45	558.45	
76	21	852	366	558.44	558.44	
79	22	850	362	558.43	558.43	
83	23	855	364	558.43	558.43	
86	24	852	362	558.43	558.43	
89	25	853	361	558.43	558.43	
93	26	853	359	558.44	558.44	
96	27	854	361	558.43	558.43	
99	28	857	361	558.43	558.43	
103	29	856	362	558.50	558.50	
106	30	854	362	558.48	558.48	
109	31	859	361	558.48	558.48	
113	32	853	361	558.50	558.50	
116	33	854	358	558.45	558.45	
119	34	857	363	558.45	558.45	
123	35	854	356	558.45	558.45	
126	36	853	369	558.47	558.47	
129	37	855	359	558.44	558.44	
133	38	857	364	558.46	558.46	
136	39	855	368	558.47	558.47	
139	40	853	362	558.46	558.46	
143	41	852	363	558.46	558.46	
146	42	856	365	558.47	558.47	
149	43	850	364	558.48	558.48	
153	44	854	357	558.47	558.47	
156	45	855	362	558.48	558.48	
159	46	852	364	558.47	558.47	
163	47	857	359	558.44	558.44	
166	48	854	364	558.43	558.43	
169	49	855	363	558.39	558.39	
173	50	852	356	558.39	558.39	
176	51	854	360	558.44	558.44	
179	52	852	365	558.44	558.44	
183	53	854	365	558.45	558.45	
186	54	854	361	558.55	558.55	
189	55	856	361	558.56	558.56	
193	56	859	360	558.54	558.54	
196	57	854	362	558.54	558.54	
199	58	854	369	558.54	558.54	
203	59	852	364	558.54	558.54	
206	60	853	368	558.55	558.55	
209	61	855	366	558.54	558.54	
213	62	852	366	558.55	558.55	
216	63	853	370	558.56	558.56	
219	64	853	361	558.54	558.54	
223	65	857	362	558.56	558.56	
226	66	852	364	558.56	558.56	
229	67	854	366	558.55	558.55	
233	68	857	361	558.62	558.62	
236	69	852	363	558.61	558.61	
239	70	852	360	558.62	558.62	
243	71	854	362	558.63	558.63	
246	72	859	363	558.62	558.62	
249	73	857	363	558.62	558.62	
253	74	856	361	558.63	558.63	
256	75	858	364	558.56	558.56	
259	76	858	361	558.57	558.57	
263	77	860	362	558.57	558.57	
266	78	856	359	558.57	558.57	
269	79	857	361	558.59	558.59	
273	80	856	353	558.59	558.59	
276	81	861	358	558.61	558.61	
279	82	858	355	558.60	558.60	
283	83	856	357	558.62	558.62	
286	84	859	355	558.63	558.63	
289	85	854	355	558.70	558.70	
293	86	855	360	558.72	558.72	
296	87	855	359	558.73	558.73	
299	88	856	365	558.74	558.74	
303	89	852	362	558.75	558.75	
306	90	859	358	558.70	558.70	
309	91	857	356	558.71	558.71	
313	92	856	353	558.73	558.73	
316	93	854	358	558.71	558.71	
319	94	853	357	558.73	558.73	
323	95	859	356	558.74	558.74	
326	96	855	360	558.74	558.74	
329	97	856	358	558.75	558.75	
333	98	853	358	558.74	558.74	
336	99	853	357	558.74	558.74	
339	100	858	362	558.75	558.75	
343	101	854	364	558.75	558.75	
346	102	857	360	558.72	558.72	
349	103	854	362	558.73	558.73	
353	104	856	365	558.80	558.80	
356	105	857	360	558.80	558.80	
359	106	855	364	558.81	558.81	
363	107	858	361	558.80	558.80	
366	108	858	363	558.85	558.85	
369	109	860	358	558.86	558.86	
373	110	861	363	558.88	558.88	
376	111	859	362	558.94	558.94	
379	112	859	360	558.92	558.92	
383	113	853	359	558.94	558.94	
386	114	852	359	558.96	558.96	
389	115	855	360	558.93	558.93	
393	116	855	361	558.93	558.93	
396	117	857	358	558.86	558.86	
399	118	855	361	558.88	558.88	
403	119	860	354	558.89	558.89	
406	120	860	357	558.88	558.88	
409	121	858	354	558.90	558.90	
413	122	856	354	558.90	558.90	
416	123	856	354	558.91	558.91	
419	124	859	357	559.01	559.01	
423	125	861	357	559.00	559.00	
426	126	862	359	558.99	558.99	
429	127	861	361	559.01	559.01	
433	128	865	354	559.02	559.02	
436	129	861	355	559.02	559.02	
439	130	860	356	559.07	559.07	
443	131	862	359	559.08	559.08	
446	132	859	358	559.09	559.09	
449	133	861	356	559.07	559.07	
453	134	862	359	559.09	559.09	
456	135	861	355	559.10	559.10	
459	136	862	358	559.03	559.03	
463	137	864	354	559.02	559.02	
466	138	861	355	559.03	559.03	
469	139	864	357	559.13	559.13	
473	140	863	361	559.10	559.10	
476	141	863	357	559.16	559.16	
479	142	862	361	559.11	559.11	
483	143	864	361	559.12	559.12	
486	144	865	359	559.12	559.12	
489	145	863	360	559.15	559.15	
493	146	863	358	559.17	559.17	
496	147	866	361	559.15	559.15	
499	148	863	357	559.19	559.19	
503	149	852	348	559.27	559.27	
506	150	831	326	559.43	559.43	
509	151	808	285	559.47	559.47	
513	152	790	239	559.58	559.58	
516	153	779	207	559.55	559.55	
519	154	773	179	559.67	559.67	
523	155	763	155	559.70	559.70	
526	156	749	141	559.79	559.79	
529	157	740	135	559.82	559.82	
533	158	732	134	559.74	559.74	
536	159	727	131	559.81	559.81	
539	160	729	135	559.86	559.86	
543	161	731	135	559.89	559.89	
546	162	735	133	559.95	559.95	
549	163	730	131	559.93	559.93	
553	164	727	118	559.87	559.87	
556	165	726	121	559.83	559.83	
559	166	727	120	559.82	559.82	
563	167	725	120	559.89	559.89	
566	168	721	120	559.90	559.90	
569	169	724	120	559.89	559.89	
573	170	722	121	559.90	559.90	
576	171	726	125	559.84	559.84	
579	172	725	122	559.81	559.81	
583	173	728	121	559.81	559.81	
586	174	725	124	559.82	559.82	
589	175	725	129	559.90	559.90	
593	176	729	123	559.97	559.97	
596	177	728	130	559.98	559.98	
599	178	728	126	560.00	560.00	
603	179	728	129	559.96	559.96	
606	180	727	129	559.98	559.98	
609	181	729	130	559.97	559.97	
613	182	731	129	560.04	560.04	
616	183	731	129	560.04	560.04	
619	184	729	128	560.04	560.04	
623	185	727	131	560.07	560.07	
626	186	729	133	560.00	560.00	
629	187	729	133	559.99	559.99	
633	188	728	132	560.04	560.04	
636	189	732	133	560.13	560.13	
639	190	729	130	560.21	560.21	
643	191	729	130	560.18	560.18	
646	192	730	131	560.18	560.18	
649	193	729	132	560.13	560.13	
653	194	728	132	560.11	560.11	
656	195	730	139	560.12	560.12	
659	196	730	136	560.07	560.07	
663	197	732	133	560.12	560.12	
666	198	730	136	560.07	560.07	
669	199	732	137	560.07	560.07	
673	200	730	138	560.06	560.06	
676	201	733	141	560.14	560.14	
679	202	731	135	560.16	560.16	
683	203	723	137	560.25	560.25	
686	204	706	127	560.19	560.19	
689	205	681	104	560.33	560.33	
693	206	655	83	560.34	560.34	
696	207	637	80	560.42	560.42	
699	208	619	86	560.43	560.43	
703	209	600	79	560.47	560.47	
706	210	581	77	560.47	560.47	
709	211	569	78	560.47	560.47	
713	212	562	75	560.47	560.47	
716	213	567	77	560.57	560.57	
719	214	568	71	560.49	560.49	
723	215	570	75	560.41	560.41	
726	216	569	73	560.48	560.48	
729	217	566	74	560.51	560.51	
733	218	568	75	560.57	560.57	
736	219	565	74	560.53	560.53	
739	220	569	76	560.56	560.56	
743	221	568	74	560.53	560.53	
746	222	569	76	560.57	560.57	
749	223	568	78	560.60	560.60	
753	224	573	78	560.57	560.57	
756	225	570	81	560.60	560.60	
759	226	567	79	560.58	560.58	
763	227	568	83	560.56	560.56	
766	228	573	80	560.58	560.58	
769	229	570	79	560.60	560.60	
773	230	569	80	560.72	560.72	
776	231	569	84	560.69	560.69	
779	232	571	79	560.61	560.61	
783	233	570	84	560.73	560.73	
786	234	572	85	560.75	560.75	
